date,channel,hook_caption,cta_utm,content_type,hashtags
2024-01-15,Instagram,Check out these mystical nail designs âœ¨,utm_source=instagram&utm_medium=post&utm_campaign=mystical_nails,Image,#mysticalnails #nailart #pressonnails
2024-01-16,TikTok,Transforming my nails with moth wing power ðŸ¦‹,utm_source=tiktok&utm_medium=video&utm_campaign=transformation,Video,#mothwing #nailtransformation #pressonnails
2024-01-17,Pinterest,DIY nail art that lasts 2 weeks,utm_source=pinterest&utm_medium=pin&utm_campaign=diy_nails,Pin,#diy #nailart #longlasting
2024-01-18,Instagram,Behind the scenes of our photo shoot ðŸ“¸,utm_source=instagram&utm_medium=story&utm_campaign=behind_scenes,Story,#behindthescenes #nailphotography #mystical
2024-01-19,TikTok,Size guide tutorial in 30 seconds,utm_source=tiktok&utm_medium=video&utm_campaign=size_guide,Video,#sizeguide #nailtips #tutorial
2024-01-20,Pinterest,Mystical nail care routine,utm_source=pinterest&utm_medium=pin&utm_campaign=nail_care,Pin,#nailcare #mystical #routine
2024-01-21,Instagram,Customer feature: Sarah's transformation,utm_source=instagram&utm_medium=post&utm_campaign=customer_feature,Image,#customerfeature #transformation #mysticalnails
2024-01-22,TikTok,Quick nail application tips,utm_source=tiktok&utm_medium=video&utm_campaign=application_tips,Video,#nailtips #application #pressonnails
2024-01-23,Pinterest,Mystical nail art inspiration board,utm_source=pinterest&utm_medium=pin&utm_campaign=inspiration,Pin,#inspiration #nailart #mystical
2024-01-24,Instagram,New collection preview ðŸ‘€,utm_source=instagram&utm_medium=post&utm_campaign=new_collection,Image,#newcollection #preview #mysticalnails
2024-01-25,TikTok,Before and after nail transformation,utm_source=tiktok&utm_medium=video&utm_campaign=before_after,Video,#beforeafter #transformation #nailart
2024-01-26,Pinterest,Mystical nail care products,utm_source=pinterest&utm_medium=pin&utm_campaign=products,Pin,#nailcare #products #mystical
2024-01-27,Instagram,Weekend nail art ideas,utm_source=instagram&utm_medium=post&utm_campaign=weekend_ideas,Image,#weekend #nailart #ideas
2024-01-28,TikTok,Nail art challenge: Mystical theme,utm_source=tiktok&utm_medium=video&utm_campaign=challenge,Video,#challenge #nailart #mystical